iter	Logloss
0	0.6769382112
1	0.6614421609
2	0.6465935635
3	0.631059211
4	0.6180850973
5	0.6028878894
6	0.5900827941
7	0.577072843
8	0.5664086563
9	0.5545557271
10	0.5443962838
11	0.5330799627
12	0.5216248899
13	0.5108962922
14	0.5017695913
15	0.4915566326
16	0.4852808578
17	0.4756873318
18	0.4675542255
19	0.4610670254
20	0.4555985316
21	0.4485933798
22	0.442254388
23	0.4347815639
24	0.4280057086
25	0.4222658152
26	0.417005046
27	0.4107558337
28	0.4050448196
29	0.399301974
30	0.3942145574
31	0.389813404
32	0.385351863
33	0.3804883813
34	0.3763655122
35	0.3716784794
36	0.3669659708
37	0.3627870982
38	0.3590149968
39	0.3558396368
40	0.3528352916
41	0.3499479143
42	0.3466329447
43	0.3431382673
44	0.3395066644
45	0.3366998586
46	0.3334837532
47	0.331252131
48	0.3287002535
49	0.3261928364
50	0.324172526
51	0.321946738
52	0.3206417672
53	0.318369138
54	0.316110629
55	0.3145674954
56	0.3129745834
57	0.3107041681
58	0.3088183851
59	0.3068743378
60	0.3050490805
61	0.3028822053
62	0.301320821
63	0.3004348789
64	0.2990104102
65	0.2970362399
66	0.2957738225
67	0.2944327408
68	0.2924369412
69	0.2913517559
70	0.2902516971
71	0.2891243089
72	0.2877188495
73	0.2861102005
74	0.2851659903
75	0.2837341269
76	0.282281885
77	0.2811258487
78	0.2801678885
79	0.2790118217
80	0.2781248202
81	0.276968867
82	0.275692672
83	0.2745502751
84	0.2740558647
85	0.2730415629
86	0.2722031909
87	0.2713831416
88	0.2703511981
89	0.2694060214
90	0.2686509691
91	0.2678229132
92	0.267064677
93	0.2659809008
94	0.2651467822
95	0.2644453488
96	0.2638687162
97	0.2629253707
98	0.2621198378
99	0.2613110893
100	0.2605846523
101	0.2598882681
102	0.259246199
103	0.2582562418
104	0.2579516883
105	0.2573791105
106	0.2566966165
107	0.2561753715
108	0.2551379616
109	0.2541161836
110	0.2535249716
111	0.2527605704
112	0.2522366868
113	0.2514358618
114	0.2508208374
115	0.2502134374
116	0.2496070788
117	0.2489863505
118	0.2485569502
119	0.2481118227
120	0.2475839017
121	0.2471249257
122	0.2465288739
123	0.246089843
124	0.2456042918
125	0.245018707
126	0.2444033799
127	0.2438599637
128	0.242959074
129	0.242087407
130	0.2411504931
131	0.240622022
132	0.2403337588
133	0.240085344
134	0.2396505421
135	0.2392923163
136	0.2387272274
137	0.2379922402
138	0.237413897
139	0.2365073291
140	0.2359654023
141	0.2351990196
142	0.2348112824
143	0.2343918759
144	0.2340644397
145	0.2332125221
146	0.2330444758
147	0.2326606131
148	0.231828261
149	0.2315166469
150	0.231085687
151	0.2305455525
152	0.2299818881
153	0.2295121963
154	0.2291417375
155	0.2284538682
156	0.2280006866
157	0.2275223648
158	0.2270624022
159	0.2262321443
160	0.2258861803
161	0.2253048044
162	0.2250248128
163	0.224633183
164	0.2242089006
165	0.2236580736
166	0.2232898124
167	0.2228341339
168	0.2225017299
169	0.2221469581
170	0.2217035707
171	0.2212441899
172	0.2209443981
173	0.220549773
174	0.2202226242
175	0.2197198959
176	0.2194281864
177	0.2191482634
178	0.2188748912
179	0.2183943849
180	0.2180139622
181	0.2175509837
182	0.2172912986
183	0.2168539468
184	0.2163786007
185	0.2160378048
186	0.2156553108
187	0.2151061823
188	0.2147800571
189	0.2144480531
190	0.2139652292
191	0.2137620922
192	0.2132987345
