iter	Passed	Remaining
0	30	30053
1	58	29355
2	82	27462
3	94	23409
4	102	20318
5	108	17933
6	115	16407
7	121	15103
8	128	14181
9	135	13368
10	141	12759
11	148	12195
12	153	11688
13	161	11349
14	167	10973
15	173	10640
16	180	10432
17	188	10257
18	195	10085
19	201	9885
20	209	9788
21	216	9604
22	223	9473
23	229	9351
24	236	9238
25	243	9138
26	249	9004
27	256	8899
28	262	8789
29	268	8684
30	276	8629
31	282	8530
32	288	8456
33	294	8379
34	301	8301
35	308	8256
36	314	8186
37	321	8142
38	329	8108
39	335	8044
40	341	7993
41	348	7941
42	355	7908
43	361	7853
44	367	7798
45	374	7763
46	380	7710
47	388	7696
48	395	7679
49	405	7699
50	411	7654
51	418	7622
52	424	7588
53	430	7542
54	437	7517
55	443	7481
56	450	7459
57	457	7424
58	463	7385
59	470	7367
60	476	7341
61	484	7322
62	490	7290
63	496	7261
64	503	7243
65	509	7212
66	517	7204
67	523	7178
68	530	7164
69	536	7132
70	543	7108
71	550	7097
72	556	7069
73	563	7056
74	569	7029
75	576	7007
76	583	6997
77	589	6972
78	596	6957
79	602	6932
80	609	6912
81	616	6898
82	622	6872
83	628	6858
84	634	6834
85	640	6812
86	647	6798
87	653	6777
88	661	6773
89	667	6750
90	674	6735
91	680	6718
92	686	6699
93	695	6699
94	701	6678
95	708	6668
96	714	6652
97	720	6631
98	727	6621
99	734	6606
100	741	6596
101	747	6578
102	753	6559
103	760	6551
104	766	6534
105	773	6522
106	779	6507
107	787	6506
108	795	6501
109	801	6488
110	809	6481
111	815	6464
112	822	6455
113	828	6437
114	834	6422
115	841	6411
116	847	6396
117	854	6387
118	860	6372
119	867	6361
120	873	6347
121	879	6332
122	887	6326
123	893	6312
124	900	6302
125	906	6287
126	912	6274
127	920	6271
128	926	6257
129	935	6260
130	941	6245
131	948	6236
132	954	6223
133	960	6209
134	968	6203
135	974	6189
136	981	6182
137	987	6167
138	993	6153
139	1000	6147
140	1006	6131
141	1013	6122
142	1019	6108
143	1025	6095
144	1032	6089
145	1038	6076
146	1045	6066
147	1051	6053
148	1057	6041
149	1065	6038
150	1072	6028
151	1079	6021
152	1085	6008
153	1091	5997
154	1098	5989
155	1104	5978
156	1112	5971
157	1118	5959
158	1124	5948
159	1131	5940
160	1137	5927
161	1144	5921
162	1151	5911
163	1158	5903
164	1164	5892
165	1170	5880
166	1177	5873
167	1183	5861
168	1191	5859
169	1203	5873
170	1211	5874
171	1219	5868
172	1228	5870
173	1235	5864
174	1243	5863
175	1250	5855
176	1259	5856
177	1266	5849
178	1275	5851
179	1282	5843
180	1291	5842
181	1298	5836
182	1306	5834
183	1313	5826
184	1322	5826
185	1329	5819
186	1339	5822
187	1345	5812
188	1353	5806
189	1360	5800
190	1366	5789
191	1373	5780
192	1379	5769
193	1406	5843
194	1433	5919
195	1445	5927
196	1455	5931
197	1462	5925
198	1470	5917
199	1477	5909
200	1485	5906
201	1493	5898
202	1501	5895
203	1508	5886
204	1518	5887
205	1525	5880
206	1534	5878
207	1541	5869
208	1550	5867
209	1557	5859
210	1566	5857
211	1573	5848
212	1581	5843
213	1588	5833
214	1595	5824
215	1601	5813
216	1607	5800
217	1614	5791
218	1620	5779
219	1627	5770
220	1633	5758
221	1639	5746
222	1646	5737
223	1652	5725
224	1661	5723
225	1668	5714
226	1676	5709
227	1684	5702
228	1692	5699
229	1700	5691
230	1708	5685
231	1715	5679
232	1723	5674
233	1731	5666
234	1739	5663
235	1747	5655
236	1755	5650
237	1762	5642
238	1770	5635
239	1778	5630
240	1785	5622
241	1793	5617
242	1800	5608
243	1808	5604
244	1814	5593
245	1822	5585
246	1828	5574
247	1835	5566
248	1842	5555
249	1848	5544
250	1855	5537
251	1862	5527
252	1869	5519
253	1875	5508
254	1881	5497
255	1888	5488
256	1894	5477
257	1902	5471
258	1909	5463
259	1919	5462
260	1926	5453
261	1934	5449
262	1941	5440
263	1949	5435
264	1956	5427
265	1965	5424
266	1975	5424
267	1984	5419
268	1991	5411
269	2000	5408
270	2007	5400
271	2017	5400
272	2025	5392
273	2033	5389
274	2041	5382
275	2049	5377
276	2056	5368
277	2063	5359
278	2069	5348
279	2076	5340
280	2083	5330
281	2089	5319
282	2096	5311
283	2102	5301
284	2109	5292
285	2116	5283
286	2122	5272
287	2129	5264
288	2135	5254
289	2142	5245
290	2149	5237
291	2156	5229
292	2164	5222
293	2172	5215
294	2180	5209
295	2187	5202
296	2196	5198
297	2203	5190
298	2212	5186
299	2219	5178
300	2228	5174
301	2235	5167
302	2243	5161
303	2251	5153
304	2259	5148
305	2266	5140
306	2275	5136
307	2282	5128
308	2291	5124
309	2298	5115
310	2305	5107
311	2311	5098
312	2318	5089
313	2325	5079
314	2331	5070
315	2338	5060
316	2344	5050
317	2350	5041
318	2359	5036
319	2365	5027
320	2372	5017
321	2378	5007
322	2385	5000
323	2392	4992
324	2400	4984
325	2407	4977
326	2415	4971
327	2422	4963
328	2429	4955
329	2437	4948
330	2445	4942
331	2454	4937
332	2461	4930
333	2470	4925
334	2477	4918
335	2486	4913
336	2494	4907
337	2502	4902
338	2510	4894
339	2518	4889
340	2525	4881
341	2534	4876
342	2540	4866
343	2548	4859
344	2554	4849
345	2561	4840
346	2567	4830
347	2573	4821
348	2580	4813
349	2586	4802
350	2592	4794
351	2599	4784
352	2605	4774
353	2612	4767
354	2618	4757
355	2624	4748
356	2631	4739
357	2637	4729
358	2644	4721
359	2650	4712
360	2657	4703
361	2663	4694
362	2669	4684
363	2677	4677
364	2683	4667
365	2689	4659
366	2695	4649
367	2702	4641
368	2711	4636
369	2718	4628
370	2726	4622
371	2734	4615
372	2745	4614
373	2753	4609
374	2761	4602
375	2768	4594
376	2777	4589
377	2784	4581
378	2792	4576
379	2800	4568
380	2809	4563
381	2816	4555
382	2823	4548
383	2831	4541
384	2839	4535
385	2846	4527
386	2855	4522
387	2861	4512
388	2867	4504
389	2874	4496
390	2880	4486
391	2888	4479
392	2894	4470
393	2901	4462
394	2907	4453
395	2913	4443
396	2919	4435
397	2925	4425
398	2932	4417
399	2938	4407
400	2944	4398
401	2951	4391
402	2957	4381
403	2965	4374
404	2971	4366
405	2978	4357
406	2985	4349
407	2991	4340
408	2998	4332
409	3004	4323
410	3010	4314
411	3016	4305
412	3023	4297
413	3031	4291
414	3038	4283
415	3047	4278
416	3055	4271
417	3064	4266
418	3071	4258
419	3079	4252
420	3086	4245
421	3094	4238
422	3101	4230
423	3109	4224
424	3117	4217
425	3124	4210
426	3132	4203
427	3142	4199
428	3150	4192
429	3158	4186
430	3165	4179
431	3173	4172
432	3181	4165
433	3188	4158
434	3195	4150
435	3201	4141
436	3208	4133
437	3214	4125
438	3221	4116
439	3227	4107
440	3233	4098
441	3240	4091
442	3247	4082
443	3253	4074
444	3259	4065
445	3265	4056
446	3273	4049
447	3279	4040
448	3285	4032
449	3292	4024
450	3298	4014
451	3304	4006
452	3310	3997
453	3316	3988
454	3323	3980
455	3329	3971
456	3335	3963
457	3342	3954
458	3347	3945
459	3355	3938
460	3360	3929
461	3367	3922
462	3374	3913
463	3380	3904
464	3387	3897
465	3393	3889
466	3400	3881
467	3406	3872
468	3412	3863
469	3419	3856
470	3425	3847
471	3433	3840
472	3440	3833
473	3448	3826
474	3455	3819
475	3463	3813
476	3471	3806
477	3478	3798
478	3486	3792
479	3494	3785
480	3501	3777
481	3508	3770
482	3517	3764
483	3524	3757
484	3532	3750
485	3541	3745
486	3551	3740
487	3558	3733
488	3566	3727
489	3573	3719
490	3582	3713
491	3589	3706
492	3597	3699
493	3603	3691
494	3610	3683
495	3616	3675
496	3622	3666
497	3629	3658
498	3635	3650
499	3642	3642
500	3648	3634
501	3655	3626
502	3662	3618
503	3668	3610
504	3675	3602
505	3681	3594
506	3689	3587
507	3695	3579
508	3702	3571
509	3709	3564
510	3715	3555
511	3723	3548
512	3729	3540
513	3735	3532
514	3742	3524
515	3748	3515
516	3755	3508
517	3761	3499
518	3767	3491
519	3774	3483
520	3780	3475
521	3787	3468
522	3793	3459
523	3799	3451
524	3806	3444
525	3812	3435
526	3819	3427
527	3825	3419
528	3830	3410
529	3838	3403
530	3844	3395
531	3853	3389
532	3859	3382
533	3868	3375
534	3875	3368
535	3882	3361
536	3889	3353
537	3897	3346
538	3905	3340
539	3914	3334
540	3921	3326
541	3930	3320
542	3940	3316
543	3948	3310
544	3956	3302
545	3964	3296
546	3971	3289
547	3980	3283
548	3987	3275
549	3995	3269
550	4002	3261
551	4008	3253
552	4015	3245
553	4021	3237
554	4028	3230
555	4034	3221
556	4040	3213
557	4048	3206
558	4054	3198
559	4060	3190
560	4066	3182
561	4075	3175
562	4080	3167
563	4086	3159
564	4093	3151
565	4099	3143
566	4105	3135
567	4112	3127
568	4118	3119
569	4125	3112
570	4132	3104
571	4138	3096
572	4145	3089
573	4151	3080
574	4158	3073
575	4164	3065
576	4171	3058
577	4177	3050
578	4184	3042
579	4191	3035
580	4197	3027
581	4204	3019
582	4210	3011
583	4216	3003
584	4224	2996
585	4230	2988
586	4237	2981
587	4244	2973
588	4251	2966
589	4259	2959
590	4266	2952
591	4273	2945
592	4281	2938
593	4289	2931
594	4296	2924
595	4305	2918
596	4313	2911
597	4324	2907
598	4332	2900
599	4340	2893
600	4347	2886
601	4355	2879
602	4363	2872
603	4371	2865
604	4378	2858
605	4386	2852
606	4394	2845
607	4401	2837
608	4407	2829
609	4414	2822
610	4421	2815
611	4427	2807
612	4434	2799
613	4440	2791
614	4448	2784
615	4454	2776
616	4461	2769
617	4467	2761
618	4473	2753
619	4480	2746
620	4486	2738
621	4492	2730
622	4498	2722
623	4504	2714
624	4511	2706
625	4517	2698
626	4523	2690
627	4530	2683
628	4536	2675
629	4543	2668
630	4549	2660
631	4555	2652
632	4561	2644
633	4567	2636
634	4575	2629
635	4581	2622
636	4587	2614
637	4594	2607
638	4600	2599
639	4607	2591
640	4613	2584
641	4619	2576
642	4626	2568
643	4632	2560
644	4639	2553
645	4645	2545
646	4651	2537
647	4658	2530
648	4665	2523
649	4671	2515
650	4678	2507
651	4684	2500
652	4691	2493
653	4697	2485
654	4705	2478
655	4713	2471
656	4719	2464
657	4727	2457
658	4735	2450
659	4744	2444
660	4752	2437
661	4759	2430
662	4766	2423
663	4774	2415
664	4781	2408
665	4789	2402
666	4796	2394
667	4805	2388
668	4813	2381
669	4821	2374
670	4829	2368
671	4837	2361
672	4844	2353
673	4853	2347
674	4859	2339
675	4868	2333
676	4875	2326
677	4883	2319
678	4888	2311
679	4895	2303
680	4902	2296
681	4908	2288
682	4916	2281
683	4922	2274
684	4928	2266
685	4935	2259
686	4942	2251
687	4949	2244
688	4955	2236
689	4962	2229
690	4968	2221
691	4974	2214
692	4981	2206
693	4987	2199
694	4994	2191
695	5000	2184
696	5006	2176
697	5013	2169
698	5019	2161
699	5026	2154
700	5032	2146
701	5038	2138
702	5045	2131
703	5051	2124
704	5058	2116
705	5065	2109
706	5070	2101
707	5078	2094
708	5084	2086
709	5091	2079
710	5097	2072
711	5104	2064
712	5111	2057
713	5117	2049
714	5124	2042
715	5130	2035
716	5137	2027
717	5145	2020
718	5151	2013
719	5157	2005
720	5163	1998
721	5170	1990
722	5176	1983
723	5182	1975
724	5190	1968
725	5196	1961
726	5205	1954
727	5212	1947
728	5220	1940
729	5227	1933
730	5235	1926
731	5242	1919
732	5250	1912
733	5257	1905
734	5264	1898
735	5272	1891
736	5279	1884
737	5288	1877
738	5296	1870
739	5304	1863
740	5311	1856
741	5320	1849
742	5327	1842
743	5335	1835
744	5341	1828
745	5350	1821
746	5357	1814
747	5365	1807
748	5371	1800
749	5377	1792
750	5384	1785
751	5390	1777
752	5398	1770
753	5404	1763
754	5410	1755
755	5417	1748
756	5423	1740
757	5429	1733
758	5436	1726
759	5442	1718
760	5448	1711
761	5454	1703
762	5461	1696
763	5467	1688
764	5474	1681
765	5480	1674
766	5486	1666
767	5493	1659
768	5499	1651
769	5505	1644
770	5511	1637
771	5517	1629
772	5524	1622
773	5530	1614
774	5537	1607
775	5545	1600
776	5551	1593
777	5558	1586
778	5564	1578
779	5570	1571
780	5576	1563
781	5582	1556
782	5590	1549
783	5595	1541
784	5602	1534
785	5608	1526
786	5614	1519
787	5621	1512
788	5627	1504
789	5633	1497
790	5640	1490
791	5646	1482
792	5653	1475
793	5660	1468
794	5665	1461
795	5672	1453
796	5678	1446
797	5687	1439
798	5694	1432
799	5702	1425
800	5709	1418
801	5717	1411
802	5724	1404
803	5732	1397
804	5740	1390
805	5747	1383
806	5754	1376
807	5761	1369
808	5770	1362
809	5778	1355
810	5785	1348
811	5799	1342
812	5806	1335
813	5814	1328
814	5821	1321
815	5829	1314
816	5836	1307
817	5843	1300
818	5850	1292
819	5856	1285
820	5863	1278
821	5869	1271
822	5876	1263
823	5882	1256
824	5888	1248
825	5895	1241
826	5901	1234
827	5908	1227
828	5914	1220
829	5920	1212
830	5927	1205
831	5934	1198
832	5941	1191
833	5951	1184
834	5958	1177
835	5964	1170
836	5970	1162
837	5992	1158
838	5998	1151
839	6004	1143
840	6011	1136
841	6017	1129
842	6027	1122
843	6033	1115
844	6041	1108
845	6047	1100
846	6054	1093
847	6060	1086
848	6066	1078
849	6073	1071
850	6079	1064
851	6086	1057
852	6093	1050
853	6099	1042
854	6107	1035
855	6114	1028
856	6121	1021
857	6127	1014
858	6133	1006
859	6140	999
860	6146	992
861	6153	985
862	6160	977
863	6166	970
864	6173	963
865	6179	956
866	6186	948
867	6192	941
868	6198	934
869	6204	927
870	6210	919
871	6218	912
872	6223	905
873	6230	898
874	6236	890
875	6242	883
876	6249	876
877	6255	869
878	6261	861
879	6268	854
880	6275	847
881	6282	840
882	6288	833
883	6294	826
884	6301	818
885	6307	811
886	6314	804
887	6320	797
888	6326	789
889	6333	782
890	6339	775
891	6348	768
892	6355	761
893	6362	754
894	6369	747
895	6375	740
896	6381	732
897	6387	725
898	6394	718
899	6400	711
900	6406	703
901	6413	696
902	6419	689
903	6426	682
904	6431	675
905	6437	667
906	6445	660
907	6450	653
908	6457	646
909	6464	639
910	6470	632
911	6477	624
912	6483	617
913	6489	610
914	6495	603
915	6501	596
916	6509	589
917	6514	581
918	6521	574
919	6527	567
920	6534	560
921	6541	553
922	6547	546
923	6554	539
924	6560	531
925	6566	524
926	6573	517
927	6579	510
928	6586	503
929	6592	496
930	6598	489
931	6606	481
932	6611	474
933	6618	467
934	6624	460
935	6631	453
936	6637	446
937	6643	439
938	6650	432
939	6656	424
940	6663	417
941	6669	410
942	6675	403
943	6682	396
944	6688	389
945	6694	382
946	6701	375
947	6707	367
948	6714	360
949	6720	353
950	6726	346
951	6733	339
952	6739	332
953	6747	325
954	6754	318
955	6762	311
956	6768	304
957	6775	297
958	6781	289
959	6787	282
960	6794	275
961	6800	268
962	6806	261
963	6814	254
964	6820	247
965	6827	240
966	6833	233
967	6839	226
968	6846	219
969	6852	211
970	6859	204
971	6865	197
972	6872	190
973	6879	183
974	6885	176
975	6893	169
976	6899	162
977	6906	155
978	6912	148
979	6918	141
980	6926	134
981	6931	127
982	6938	119
983	6944	112
984	6950	105
985	6957	98
986	6963	91
987	6970	84
988	6977	77
989	6984	70
990	6990	63
991	6996	56
992	7004	49
993	7010	42
994	7016	35
995	7023	28
996	7029	21
997	7036	14
998	7042	7
999	7049	0
